"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:37.4375877 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4376138 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:35:37.4376588 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\AppID\notepad.exe","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4376921 PM","notepad.exe","5324","RegOpenKey","HKCR\AppID\notepad.exe","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4377208 PM","notepad.exe","5324","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4377403 PM","notepad.exe","5324","RegOpenKey","HKLM\Software\Microsoft\OLE\AppCompat","SUCCESS","Desired Access: Read"
"10:35:37.4377684 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\AppCompat\RaiseDefaultAuthnLevel","NAME NOT FOUND","Length: 16"
"10:35:37.4377929 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole\AppCompat","SUCCESS",""
"10:35:37.4378122 PM","notepad.exe","5324","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4378301 PM","notepad.exe","5324","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read"
"10:35:37.4378550 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\DefaultAccessPermission","NAME NOT FOUND","Length: 144"
"10:35:37.4381529 PM","notepad.exe","5324","CreateFile","C:\Windows\System32\rpcss.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:35:37.4382060 PM","notepad.exe","5324","QueryBasicInformationFile","C:\Windows\System32\rpcss.dll","SUCCESS","CreationTime: 12/3/2023 6:46:23 PM, LastAccessTime: 2/26/2026 10:35:37 PM, LastWriteTime: 12/3/2023 6:46:23 PM, ChangeTime: 2/5/2026 4:39:05 PM, FileAttributes: A"
"10:35:37.4382246 PM","notepad.exe","5324","CloseFile","C:\Windows\System32\rpcss.dll","SUCCESS",""
"10:35:37.4383531 PM","notepad.exe","5324","CreateFile","C:\Windows\System32\rpcss.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:35:37.4384311 PM","notepad.exe","5324","CreateFileMapping","C:\Windows\System32\rpcss.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"10:35:37.4384522 PM","notepad.exe","5324","QueryStandardInformationFile","C:\Windows\System32\rpcss.dll","SUCCESS","AllocationSize: 1,323,008, EndOfFile: 1,322,496, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:35:37.4384842 PM","notepad.exe","5324","CreateFileMapping","C:\Windows\System32\rpcss.dll","SUCCESS","SyncType: SyncTypeOther"
"10:35:37.4385926 PM","notepad.exe","5324","CloseFile","C:\Windows\System32\rpcss.dll","SUCCESS",""
"10:35:37.4393363 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"10:35:37.4398646 PM","notepad.exe","5324","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","REPARSE","Desired Access: Query Value"
"10:35:37.4399030 PM","notepad.exe","5324","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS","Desired Access: Query Value"
"10:35:37.4399373 PM","notepad.exe","5324","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\AnonymousAppContainerImpersonationLevelCheck","NAME NOT FOUND","Length: 80"
"10:35:37.4399745 PM","notepad.exe","5324","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS",""
"10:35:37.4399968 PM","notepad.exe","5324","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","REPARSE","Desired Access: Query Value"
